YY  MM DD hhmm     LAT      LON WDIR WSPD GST   PRES   ATMP  WTMP  DEWP  WVHT  DPD
2022 08 17 1230   26.25   -89.63 238  2.0  2.2 1016.5   29.0  30.1  23.1   0.2    4
2022 08 17 1330   26.26   -89.62 285  1.4  1.7 1016.8   29.0  30.1  23.4   0.2    4
2022 08 17 1430   26.27   -89.62 259  1.5  1.7 1016.7   28.9  30.2  23.4   0.2    7
2022 08 17 1530   26.28   -89.62 300  2.1  2.3 1016.8   29.1  30.3  23.3   0.2    4
2022 08 17 1630   26.29   -89.61 263  1.5  1.8 1016.7   29.1  30.7  23.0   0.2    5
2022 08 17 1730   26.30   -89.61 266  0.9  1.2 1016.5   29.3  30.7  22.9   0.2    4
2022 08 17 1830   26.30   -89.60 314  2.1  2.8 1016.5   29.4  31.1  23.2   0.2    5
2022 08 17 1930   26.31   -89.59 313  2.7  3.2 1016.3   29.4  31.1  23.5   0.2    5
2022 08 17 2030   26.31   -89.58   4  2.5  2.8 1015.9   29.6  30.8  23.9   0.2    5
2022 08 17 2130   26.30   -89.57 346  2.8  3.2 1015.4   29.6  30.7  23.5   0.2    5
2022 08 17 2230   26.30   -89.57  15  2.3  2.8 1015.2   29.6  30.8  24.0   0.2    5
2022 08 17 2330   26.30   -89.57  10  1.8  2.2 1015.3   29.8  30.7  23.5   0.2    5
2022 08 18 0030   26.30   -89.57  40  0.7  0.8 1015.4   29.4  30.5  23.5   0.2    5
2022 08 18 0130   26.30   -89.57 108  1.4  1.8 1015.9   29.4  30.4  23.7   0.2    4
2022 08 18 0230   26.31   -89.58 125  2.3  2.6 1015.8   29.4  30.4  24.1   0.2    4
2022 08 18 0330   26.31   -89.58 123  1.7  2.0 1015.7   29.3  30.3  23.5   0.2    4
2022 08 18 0430   26.31   -89.58 132  1.8  2.1 1015.5   29.2  30.2  23.6   0.2    4
2022 08 18 0530   26.32   -89.58 143  1.8  2.0 1015.1   29.2  30.3  24.1   0.2    4
2022 08 18 0630   26.33   -89.58 142  1.1  1.5 1014.3   28.9  30.3  23.4   0.2    4
2022 08 18 0730   26.33   -89.59 165  3.1  3.6 1014.3   28.9  30.2  23.7   0.2    5
2022 08 18 0830   26.34   -89.59 192  2.0  2.2 1014.3   28.9  30.1  23.9   0.2    6
2022 08 18 0930   26.35   -89.58 192  2.2  2.5 1014.4   28.9  30.1  23.3   0.2    4
2022 08 18 1030   26.35   -89.58 214  1.8  2.1 1014.3   28.8  30.1  23.6   0.2    4
2022 08 18 1130   26.36   -89.58 245  1.1  1.3 1014.6   28.8  30.1  23.5   0.2    4
2022 08 18 1230   26.36   -89.58 245  1.8  2.3 1014.9   29.1  30.1  23.3   0.2    4
2022 08 18 1330   26.37   -89.58 271  1.0  1.2 1015.2   29.1  30.1  23.5   0.3    4
2022 08 18 1430   26.37   -89.58 255  1.4  1.8 1015.4   29.1  30.3  24.1   0.2    4
2022 08 18 1530   26.37   -89.57 262  2.7  3.0 1015.9   29.1  30.4  24.2   0.3    4
2022 08 18 1630   26.37   -89.56 225  1.3  1.6 1016.2   29.2  30.5  23.9   0.2    5
2022 08 18 1730   26.38   -89.54 303  1.8  1.9 1016.0   29.3  30.7  24.3   0.2    3
2022 08 18 1830   26.38   -89.53 270  2.3  2.9 1015.7   29.4  31.1  24.1   0.2    4
2022 08 18 1930   26.38   -89.53 263  2.0  2.5 1015.2   29.4  31.2  24.0   0.3    4
2022 08 18 2030   26.38   -89.52 320  2.5  2.9 1014.7   29.6  31.0  23.8   0.2    4
2022 08 18 2130   26.37   -89.51 291  1.9  2.0 1014.2   29.8  31.1  24.4   0.2    4
2022 08 18 2230   26.38   -89.51 259  0.7  0.9 1013.8   30.5  31.1  23.2   0.2    4
2022 08 18 2330   26.38   -89.51  53  0.1  0.3 1013.6   29.9  31.1  23.3   0.2    5
2022 08 19 0030   26.38   -89.51 125  1.1  1.6 1014.3   29.4  31.0  23.6   0.2    5
2022 08 19 0130   26.37   -89.52 118  1.2  1.5 1014.8   29.4  30.9  23.8   0.2    4
2022 08 19 0230   26.37   -89.53 130  3.1  3.6 1015.3   29.4  30.9  24.5   0.2    5
2022 08 19 0330   26.35   -89.54 124  3.1  3.8 1015.5   29.4  30.7  24.3   0.2    5
2022 08 19 0430   26.34   -89.55 163  3.1  3.4 1015.4   29.4  30.5  24.5   0.2    4
2022 08 19 0530   26.33   -89.56 144  3.9  4.3 1015.0   29.4  30.6  24.0   0.2    5
2022 08 19 0630   26.32   -89.58 158  3.7  4.2 1014.5   29.2  30.7  24.8   0.2    5
2022 08 19 0730   26.31   -89.60 173  4.5  5.0 1014.0   29.2  30.4  24.6   0.3    2
2022 08 19 0830   26.31   -89.61 192  1.6  1.8 1013.7   29.1  30.3  23.7   0.3    2
2022 08 19 0930   26.32   -89.62 178  3.2  3.6 1013.6   29.0  30.2  24.1   0.3    2
2022 08 19 1030   26.32   -89.63 179  5.2  5.6 1014.0   29.0  30.1  24.6   0.3    2
2022 08 19 1130   26.31   -89.65 189  3.9  4.6 1014.6   29.2  30.2  24.6   0.3    2
2022 08 19 1230   26.31   -89.64 197  3.2  3.7 1015.4   29.3  30.2  24.1   0.2    4
2022 08 19 1330   26.31   -89.63 180  4.4  4.8 1015.6   29.4  30.2  23.3   0.2    5
2022 08 19 1430   26.31   -89.62 169  3.7  4.3 1016.1   29.4  30.3  24.4   0.3    2
2022 08 19 1530   26.30   -89.63 156  4.1  4.6 1016.1   29.4  30.4  23.8   0.3    2
2022 08 19 1630   26.30   -89.63 155  3.7  4.2 1016.0   29.4  30.4  24.4   0.3    2
2022 08 19 1730   26.29   -89.64 163  5.1  5.7 1015.8   29.4  30.5  24.4   0.3    5
2022 08 19 1830   26.28   -89.66 164  4.0  4.8 1015.8   29.6  30.6  23.7   0.3    5
2022 08 19 1930   26.28   -89.66 154  4.3  4.7 1015.4   29.7  30.6  23.9   0.3    6
2022 08 19 2030   26.28   -89.67 155  3.2  3.9 1015.1   29.6  30.6  24.6   0.3    6
2022 08 19 2130   26.28   -89.68 158  3.3  3.9 1015.0   29.9  30.8  24.4   0.3    3
2022 08 19 2230   26.27   -89.68 148  3.8  4.3 1015.3   29.7  30.7  25.0   0.3    6
2022 08 19 2330   26.27   -89.68 151  3.0  3.5 1015.1   29.7  30.6  24.3   0.3    5
2022 08 20 0030   26.26   -89.68 137  4.9  5.5 1015.6   29.4  30.5  25.3   0.3    5
2022 08 20 0130   26.24   -89.69 127  3.8  4.2 1016.0   29.5  30.5  25.0   0.4    4
2022 08 20 0230   26.23   -89.69 131  4.9  5.3 1016.6   29.6  30.5  24.9   0.4    5
2022 08 20 0330   26.21   -89.68 130  5.2  5.8 1016.9   29.4  30.4  25.3   0.4    4
2022 08 20 0430   26.20   -89.68 140  6.2  6.7 1016.7   29.4  30.2  25.4   0.4    4
2022 08 20 0530   26.19   -89.68 141  6.0  6.4 1016.6   29.5  30.3  25.8   0.5    4
2022 08 20 0630   26.19   -89.65 150  6.3  7.1 1016.8   29.6  30.3  25.7   0.5    5
2022 08 20 0730   26.17   -89.66 146  6.5  7.2 1016.4   29.5  30.2  25.4   0.5    2
2022 08 20 0830   26.15   -89.67 150  5.7  6.3 1016.1   29.4  30.2  25.6   0.5    2
2022 08 20 0930   26.14   -89.67 137  5.0  5.8 1015.8   29.4  30.2  25.8   0.5    3
